OBJECTID,Join_Count,TARGET_FID,PARCELID,SITEADDRES,OWNERNME1,AGENCY,TOT_APPR,LOWPARCELID,BUILDING,UNIT,STATEDAREA,LGLSTARTDT,CVTTXCD,CVTTXDSCRP,SCHLTXCD,SCHLDSCRP,USECD,USEDSCRP,NGHBRHDCD,CLASSDSCRP,CLASSCD,LIVUNITS,SITEADDRESS,SITECITY,SITESTATE,SITEZIP,PRPRTYDSCRP,CNVYNAME,OWNERNME2,PSTLADDRESS,PSTLADDRESS2,PSTLCITY,PSTLSTATE,PSTLZIP5,PSTLZIP4,FLOORCOUNT,BLDGAREA,RESFLRAREA,RESYRBLT,RESSTRTYP,STRCLASS,CLASSMOD,LNDVALUE,IMPR_APPR,LANDASSESS,IMPRASSESS,LANDAPPR,PRVASSDVAL,CNTASSDVAL,ASSDVALYRCG,ASSDPCNTCG,PRVTXBLVAL,CNTTXBLVAL,TXBLVALYRCHG,TXBLPCNTCHG,PRVWNTTXOD,PRVSMRTXOD,TOTPRVTXTOD,CNTWNTTXOD,CNTSMRTXOD,TOTCNTTXOD,TXODYRCHG,TXODPCNTCHG,WATERSERV,SEWERSERV,LASTUPDATE,EXT_MIN_X,EXT_MIN_Y,EXT_MAX_X,EXT_MAX_Y,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,ORDNAME,ORDLINK,ORDSTATUS,LOWPARCELI,SUBAGENCY,Censustrac,BLKGROUP,BLOCK,NSA,NEIGHBORHO,NPU,COUNCILDIS,OTHERID,STATUS,POTENTIAL_,COMMITTEDT,COMMENTS,Zoningcate,ZONING,ZONINGOVER,INCLUSIONA,ACRES,FLD_ZONE,NOFLD_PERC,NOFLD_AREA,Brownfield,Brownfie_1,Slope_C5_A,Slope_C5_P,ELEM_TOTFR,Park_Dist,Close_Park,Is_Atl_Par,Train_Dist,STATION,Bus_Dist,stop_name,LILATracts,TAD_desc,CID_NAME,GrowthType,CDBGZONEDE,Urb_Displ_,Tree_Can,OppZone_Fe,OppZone_St,OppZ_State,TAX_LIEN_V,HH_Med_Est,HIST_DSTRC,HIST_SITEN,HIST_SITE_,Shape__Are,Shape__Len,PARCELID_A,Viable_Spo,LANDUSECOD,LANDUSEDES,Intersect_,Prop,Vacancy_Fl,Fulton_LUC,Fulton_LU,ClassCode,APSExcess,Active_Park,Active_APS,Greenway,ZONING_CLASSIFICATION,PERCENTAGE,CONCAT,ZONINGCODE,Shape__Area,Shape__Length
1643,3,1643,14 004500010593,0 HILLIARD ST SE,WESTSIDE REVITALIZATION ACQUISITIONS LLC,Atlanta Housing Authority,110800,,,,,,,,,,,,,,E1,0,,ATLANTA,GA,,,,,,,,,,,,,,,,,,,0,44320,0,110800,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 00450001059,WESTSIDE REVITALIZATION ACQUISITIONS LLC,13121002800,1,302,M02,Sweet Auburn,M,5,Grady Homes Off-Site,Stage 3: Development approvals,Already committed to affordable housing, ,TBD. Developer: Integral,TBD,HC-20C SA4, , ,0.17177716,X,99.9999834023,8992.62040502, , ,0,0,446,134.187676418,Selena S. Butler Park, ,437.376274707,King Memorial,46.9759233213,Edgewood at Hilliard,1,Eastside, ,Growth Area,"Block Group 1, Census Tract 119, Fulton County, Georgia-0.8542",High Student Population,0,Census Tract 119,City of Atlanta - Auburn Ave,2023,0,31979,Martin Luther King Jr. Landmark District, , ,1008.1953125,143.153405419,14 00450001059, ,LDC,Low-Density Commercial,1008.1999,1,High,600,Vacant Exempt Land,E1,,,,,HC-20C SA4,100,HC-20C SA4 = 100.0%,Historic,1008.1953125,143.153308127903
1644,1,1644,14 008300040841,0 MAGNOLIA ST NW,CITY OF ATLANTA,City of Atlanta,22300,,,,,,,,,,,,,,E1,0,,ATLANTA,GA,,,,,,,,,,,,,,,,,,,0,8920,0,22300,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 00830004084,Parks,TBD,1,605,L01,Vine City,L,3, , ,0, , ,Residential,SPI-11 SA7, ,Vine City,0.04355901,X,100.00028444,2280.47348092, , ,0,0,660,23.88045411,Vine City Park,VICI,268.924949041,Vine City,286.095496514,VINE CITY STATION (ELECTRIC AVE),1,Westside, ,Growth Area,"Block Group 1, Census Tract 26, Fulton County, Georgia-0.8357",At Risk of Gentrification,0.00197684,Census Tract 26, ,0,0,33611, , , ,255.6875,67.9072824226,14 00830004084, ,OS,Open Space,255.6857,1,High,699,Improved Government Owned Exempt NEC (Nowhere else coded),E1,,Yes,,,SPI-19 SA6,100,SPI-19 SA6 = 100.0%,Special Public Interest,255.69140625,67.9073811005062
1645,3,1645,14 012000010252,0 LEE ST SW,CITY OF ATLANTA,City of Atlanta,77500,,,,,,,,,,,,,,E1,0,,ATLANTA,GA,,,,,,,,,,,,,,,,,,,0,31000,0,77500,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 01200001025,Public Safety,TBD,1,101,S01,Oakland City,S,4, , ,0, , ,Commercial,C-2,C-2 - Sign Overlay, ,0.09095631,X,99.9998721662,4759.91352653, , ,0,0,458,571.097229851,Rev. James Orange Park At Oakland City, ,534.111568236,Oakland City,167.36257905,MURPHY AVE@AVON AVE,1,Beltline, ,Growth Area,"Block Group 1, Census Tract 66.02, Fulton County, Georgia-0.9515",Low-Income/Susceptible to Displacement,0.251058, , ,0,0,25375,Oakland City Historic District, , ,533.45703125,95.7993654531,14 01200001025, ,LDC,Low-Density Commercial,503.5648,0.944,High,600,Vacant Exempt Land,E1,,,,,C-2,100,C-2 = 100.0%,Commercial,533.453125,95.7991367722373
1646,1,1646,14 005300011038,0 WOODWARD AVE SE,ATLANTA HOUSING AUTHORITY,Atlanta Housing Authority,3022600,,,,,,,,,,,,,,E1,0,,ATLANTA,GA,,,,,,,,,,,,,,,,,,,0,1209040,0,3022600,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 00530001103,ATLANTA HOUSING AUTHORITY,13121004800,1,116,V01,Capitol Gateway,V,1,Capitol Gateway,Stage 3: Development approvals,Already committed to affordable housing, ,TBD. Developer: Integral,Residential,SPI-22 SA3, , ,6.12592427,X,100.000028484,320669.025182, , ,453.604746317,0.141455781476,372,288.078143849,Rawson-Washington Park, ,349.364736736,Georgia State,5.22700724418,MEMORIAL DR SE @ FRASER ST SE,1,Eastside, ,Growth Area,"Block Group 1, Census Tract 48, Fulton County, Georgia-0.8351",Early/Ongoing Gentrification,0.205592, , ,0,0,19612, , , ,35948.375,780.691473978,14 00530001103, ,MU,Mixed-Use,35948.3661,1,High,600,Vacant Exempt Land,E1,,,,,SPI-22 SA3,100,SPI-22 SA3 = 100.0%,Special Public Interest,35948.3671875,780.691831347573
1647,3,1647,14 011300050018,1140 DONALD LEE HOLLOWELL PKWY NW,CITY OF ATLANTA,City of Atlanta,4852800,,,,,,,,,,,,,,E1,0,,ATLANTA,GA,,,,,,,,,,,,,,,,,,,690300,1665000,276120,4162500,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 01130005001,Parks,13121002300,3,205,K02,Bankhead,K,3, , ,0, , ,Industrial,I-2,Beltline,Upper Marietta/Westside Park,3.23489992,X,99.999988753,169384.341828, , ,26696.85492,15.7611096925,505,231.525315536,Maddox Park,MADD,278.905326811,Bankhead,13.4638994842,DONALD L HOLLOWELL PKWY @ MARIETTA BLVD,0,Beltline, ,Growth Area,"Block Group 3, Census Tract 23, Fulton County, Georgia-0.8421",At Risk of Gentrification,1.3571, , ,0,0,19844, , , ,18994.3789063,921.263989054,14 01130005001, ,OS,Open Space,18994.3932,1,Low,610,Recreation/Health,E1,,Yes,,,I-2,79,"C-1 = 21.0%,I-2 = 79.0%",Industrial,18994.3671875,921.26406399933
1648,1,1648,14 011700080854,0 RALPH D ABERNATHY BLVD SW,CITY OF ATLANTA,City of Atlanta,178500,,,,,,,,,,,,,,E1,0,,ATLANTA,GA,,,,,,,,,,,,,,,,,,,0,71400,0,178500,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 01170008085,Parks,TBD,2,405,T04,West End,T,4, , ,0, , ,Residential,R-LC,Beltline,RDA/Cascade,2.13922181,X,100.000011195,111970.213185, , ,0,0,53,0,Howell Park,HOWE,602.016688183,West End,0,RALPH DAVID ABERNATH BLVD@PEEPLES S,0,Beltline,West End CID,Low Growth Res 2, ,Low-Income/Susceptible to Displacement,1.02005,Census Tract 42, ,0,0,25270,West End Historic District, , ,12551.1992188,453.109287803,14 01170008085, ,OS,Open Space,12252.5194,0.9762,High,610,Recreation/Health,E1,,Yes,,,R-LC,100,R-LC = 100.0%,Single Family Residential,12551.203125,453.109189958293
1649,2,1649,14 008300011768,616 JOSEPH E BOONE BLVD,CITY OF ATLANTA,City of Atlanta,23900,,,,,,,,,,,,,,E1,0,,ATLANTA,GA,,,,,,,,,,,,,,,,,,,0,9560,0,23900,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 00830001176,Watershed,13121002600,1,504,L01,Vine City,L,3, ,N/A,Cannot be developed,No, ,Residential,SPI-11 SA7, ,Vine City,0.09299156,"X,X",100.000051973,4868.74150829,591 THURMOND ST NW,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070068705,0,0,660,118.977302879,Mims Park,MIMS,782.773523875,Vine City,11.5224904408,JOSEPH E BOONE BLVD @ VINE ST NW,1,Westside, ,Growth Area,"Block Group 1, Census Tract 26, Fulton County, Georgia-0.8357",At Risk of Gentrification,0.0148263,Census Tract 26, ,0,0,33611, , , ,545.90625,100.219789256,14 00830001176, ,OS,Open Space,545.9145,1,High,699,Improved Government Owned Exempt NEC (Nowhere else coded),E1,,Yes,,Yes,SPI-19 SA5,100,SPI-19 SA5 = 100.0%,Special Public Interest,545.91015625,100.219688337581
1650,7,1650,14 011000031185,0 ELM ST,CITY OF ATLANTA,City of Atlanta,39900,,,,,,,,,,,,,,E1,4,,ATLANTA,GA,,,,,,,,,,,,,,,,,,,0,15960,0,39900,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 01100003118,Watershed,13121002500,2,101,L01,Vine City,L,3,  Note:  It appears that this parcel (which is located on the SE corner of Elm & Simpson was purchased by Watershed on the behalf of Community Development., ,0, , ,Residential,SPI-11 SA9, ,Vine City,0.84287097,X,99.999885052,44129.5847204, , ,0,0,660,90.2414344162,Mims Park,MIMS,768.800711493,Vine City,10.5984309042,JOSEPH E BOONE BLVD @ ELM ST NW,0,Westside, ,Growth Area,"Block Group 2, Census Tract 25, Fulton County, Georgia-0.75",Low-Income/Susceptible to Displacement,0.12553,Census Tract 25, ,0,0,33162, , , ,4948.0859375,289.6540703,14 01100003118, ,OS,Open Space,4948.0886,1,High,600,Vacant Exempt Land,E1,,Yes,,Yes,SPI-19 SA5,100,SPI-19 SA5 = 100.0%,Special Public Interest,4948.0859375,289.654071238613
1651,2,1651,14 011000070043,0 BOOKER WASHINGTON DR NW,WESTSIDE AFFORDABLE HOUSING INC,Atlanta Housing Authority,25400,,,,,,,,,,,,,,E1,0,,ATLANTA,GA,,,,,,,,,,,,,,,,,,,0,10160,0,25400,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 01100007004,WESTSIDE AFFORDABLE HOUSING INC,13121002500,1,507,L01,Vine City,L,3,Magnolia Perimeter,Stage 3: Development approvals,Already committed to affordable housing, ,TBD: Developer selected,Residential,SPI-11 SA10, ,Vine City,0.12451949,X,100.00024713,6519.06994706, , ,1222.47240487,18.7522980409,660,218.367999015,Charles L. Harper Memorial Park, ,265.830189573,Ashby,77.7110704579,JOSEPH E LOWERY BLVD NW @ MAGNOLIA ST NW,0,Westside, ,Growth Area,"Block Group 1, Census Tract 25, Fulton County, Georgia-0.887",Low-Income/Susceptible to Displacement,0.0879695,Census Tract 25, ,0,0,27625, , , ,730.92578125,131.41007931,14 01100007004, ,LDR,Low-Density Residential,730.9212,1,High,600,Vacant Exempt Land,E1,,,,,SPI-19 SA5,100,SPI-19 SA5 = 100.0%,Special Public Interest,730.921875,131.409979827933
1652,7,1652,14F0005  LL0019,0 FAIRBURN RD SW,CITY OF ATLANTA,City of Atlanta,242700,,,,,,,,,,,,,,E1,0,,ATLANTA,GA,,,,,,,,,,,,,,,,,,,186600,22440,74640,56100,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14F0005  LL001,Parks,13121007808,2,405,P06, ,P,11, , ,0, , ,Residential,R-4, , ,9.05776011,X,99.9999926097,473829.39816,2387 FAIRBURN ROAD,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070068545,11793.1678117,2.48890570866,538,10.2001237017,Ben Hill Park,BEHI,6710.77546267,East Point,125.663305286,CAMPBELLTON RD SW@FAIRBURN RD SW,1,Campbellton, ,Growth Area,"Block Group 2, Census Tract 77.06, Fulton County, Georgia-0.5484",Early/Ongoing Gentrification,0.226348, , ,0,0,35244, , , ,53082.9140625,1294.31447433,14F0005  LL001, ,OS,Open Space,52804.0938,0.9947,Low,620,"Churches, Synogogue, Mosque",E1,,Yes,,,MRC-1-C,100,MRC-1-C = 100.0%,Multi-Family Residential,53082.93359375,1294.31460924905
1653,3,1653,14 008200060147,510 CAMERON M ALEXANDER BLVD,ATLANTA HOUSING AUTHORITY,Atlanta Housing Authority,0,,,,,,,,,,,,,, ,0,,ATLANTA,GA,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 00820006014,ATLANTA HOUSING AUTHORITY,13121011800,3,102,L02,English Avenue,L,3,Scattered Site Lot (Gray Street Public School),Stage 3: Development approvals,Already committed to affordable housing, ,TBD: Developer Hunt / Oakwood,Residential,PD-MU, ,English Avenue,0.936183,"X,X,X",99.999993977,563563.57916, , ,1011.26081195,0.179440401835,812,570.323120442,Mims Park, ,1111.62833612,Vine City,6.83910174294,NORTHSIDE DR NW @ CAMERON M ALEXANDER BLVD NW,1,Westside, ,Growth Area,"Block Group 3, Census Tract 118, Fulton County, Georgia-0.8968",Ongoing Displacement,0.0682011,Census Tract 118,City of Atlanta - North Ave,2022,0,42667, , , ,63193.34375,1415.31260275,14 00820006014, ,MU,Mixed-Use,63193.3524,1,High,699,Improved Government Owned Exempt NEC (Nowhere else coded),E1,,,,,PD-MU,100,PD-MU = 100.0%,Planned Development,63193.359375,1415.31258025977
1654,1,1654,14 007700110238,0 TRINITY AVE SW,CITY OF ATLANTA,City of Atlanta,7600,,,,,,,,,,,,,,E1,0,,ATLANTA,GA,,,,,,,,,,,,,,,,,,,0,3040,0,7600,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 00770011023,Parks,13121003500,1,123,M01,Downtown,M,4, , ,0, , ,Residential,SPI-1 SA1, , ,0.04360721,X,99.9998496772,2282.69837941, , ,0,0,372,716.014942161,Fulton-Pryor Island, ,434.970751982,Georgia State,139.21596802,CAPITOL AVE @ MEMORIAL DR,1,Eastside, ,Growth Area,"Block Group 1, Census Tract 35, Fulton County, Georgia-0.6441",At Risk of Becoming Exclusive,0.0088958, , ,0,0,42431, , , ,255.90234375,79.6453788725,14 00770011023, ,O-I,Office/Institutional,255.9031,1,High,699,Improved Government Owned Exempt NEC (Nowhere else coded),E1,,,,,SPI-1 SA1,100,SPI-1 SA1 = 100.0%,Special Public Interest,255.90234375,79.6453788724814
1655,3,1655,14 005200030203,0 BELL ST SE,CITY OF ATLANTA,City of Atlanta,330000,,,,,,,,,,,,,,E1,0,,ATLANTA,GA,,,,,,,,,,,,,,,,,,,0,132000,0,330000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 00520003020,OEAM,13121011900,2,406,M01,Downtown,M,5, , ,0, , ,Residential,SPI-1 SA1, , ,0.18692431,"X,X",99.9999793753,9785.57282199, , ,35.8213724638,0.366063037161,372,242.532073629,John Wesley Dobbs Park, ,527.46408954,King Memorial,44.3891925315,BELL ST SE @ PRATT ST SE,1,Eastside,Downtown Atlanta CID,Growth Area, ,High Student Population,0.0148263,Census Tract 119,City of Atlanta - Downtown,2021,0,19154, , , ,1097.10546875,134.620699727,14 00520003020, ,HDC,High-Density Commercial,1097.0949,1,High,600,Vacant Exempt Land,E1,,,,,SPI-1 SA1,99,"HC-20C SA4 = 1.0%,SPI-1 SA1 = 99.0%",Special Public Interest,1097.1015625,134.62051433869
1656,2,1656,14 007500050667,0 TENNESSEE AVE SW,CITY OF ATLANTA,City of Atlanta,24300,,,,,,,,,,,,,,E3,0,,ATLANTA,GA,,,,,,,,,,,,,,,,,,,0,9720,0,24300,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 00750005066,Purchasing,TBD,1,602,V04,Mechanicsville,V,4, , ,More info needed, , ,Residential,SPI-18 SA5, , ,0.0412975,X,100.000353209,2161.46874394, , ,0,0,380,313.042963816,Ralph David Abernathy Plaza, ,1634.69215203,Garnett,108.326282227,PRYOR ST SW@DODD AVE SW,1, , ,Growth Area,"Block Group 1, Census Tract 120, Fulton County, Georgia-0.6655",At Risk of Gentrification,0.0227337,Census Tract 120, ,0,0,21299, , , ,242.2734375,63.9472727773,14 00750005066, ,SFR,Single-Family Residential,242.2744,1,High,600,Vacant Exempt Land,E3,,,,,SPI-18 SA5,100,SPI-18 SA5 = 100.0%,Special Public Interest,242.2734375,63.9471637873478
1657,3,1657,14 000500020012,0 NATHAM DR SE,CITY OF ATLANTA,City of Atlanta,62900,,,,,,,,,,,,,,E1,0,,ATLANTA,GA,,,,,,,,,,,,,,,,,,,0,25160,0,62900,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 00050002001,Watershed,TBD,2,208,Z01,Rebel Valley Forest,Z,1, , ,0, , ,Residential,R-4, , ,0.49860332,"AE,X,X",1.60768707037,419.32983464, , ,0,0,498,92.9530634516,Rebel Valley Playlot, ,6848.36956707,Lakewood-Ft. McPherson,63.2705013789,REDFORD DR@NATHAM DR,1, , ,Low Growth Res 1,"Block Group 2, Census Tract 70.02, Fulton County, Georgia-1",Ongoing Displacement,0.118611, , ,0,0,47750, , , ,2922.0234375,220.987150166,14 00050002001, ,SFR,Single-Family Residential,2922.0271,1,High,699,Improved Government Owned Exempt NEC (Nowhere else coded),E1,,,,,R-4,100,R-4 = 100.0%,Single Family Residential,2922.0234375,220.987222718921
1658,1,1658,14F0029  LL0391,1371 KIMBERLY RD SW,KIMBERLY ASSOC III L P,Atlanta Housing Authority,1934900,,,,,,,,,,,,,,C1,96,,ATLANTA,GA,,,,,,,,,,,,,,,,,,,1934900,0,464380,0,,464380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14F0029  LL039,KIMBERLY ASSOC III L P,TBD,1,119A,P05,Ashley Courts,P,11,Ashley Courts at Cascade,Stage 5: Completion / unit availability,0, ,Land developed - GL to Integral,Residential,RG-3, , ,0.29009471,X,100.000036036,15180.4607358, , ,11386.3691342,75.0067697911,538,1160.94606582,Melvin Drive Park, ,6430.09338223,Hamilton E. Holmes,386.49721978,KIMBERLY RD @ FAIRLY WAY,1, , ,Low Growth Res 2, ,Low-Income/Susceptible to Displacement,0.158147, , ,0,0,44002, , , ,1701.234375,165.294494919,14F0029  LL039, ,MDR,Medium-Density Residential,1701.2322,1,Low,0, ,C1,,,,,RG-3,100,RG-3 = 100.0%,Single Family Residential,1701.23046875,165.294294929879
1659,2,1659,14 0059  LL0507,0 SCHELL RD SE,CITY OF ATLANTA GEORGIA,City of Atlanta,4300,,,,,,,,,,,,,,E1,0,,ATLANTA,GA,,,,,,,,,,,,,,,,,,,0,1720,0,4300,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 0059  LL050,Parks,13121007001,3,406,Z04,Swallow Circle/Baywood,Z,1, , ,0, , ,Residential,R-4, , ,3.15055469,X,100.000015499,164823.029073, , ,850.980388749,0.516299527695,460,210.572682216,Swann Preserve - Park,SWAN,4127.83421823,Lakewood-Ft. McPherson,57.7144209942,SWALLOW CIR SE @ HARPER RD SE,1, , ,Low Growth Res 1,"Block Group 3, Census Tract 70.01, Fulton County, Georgia-0.5288",At Risk of Gentrification,0.145298, , ,0,0,38261, , , ,18466.3203125,562.426608192,14 0059  LL050, ,SFR,Single-Family Residential,18466.3175,1,High,100,Residential Vacant,E1,,Yes,,,R-4,100,R-4 = 100.0%,Single Family Residential,18466.3046875,562.426506954272
1660,6,1660,14 0059  LL0515,0 SCHELL RD SE,CITY OF ATLANTA GEORGIA,City of Atlanta,9900,,,,,,,,,,,,,,E1,0,,ATLANTA,GA,,,,,,,,,,,,,,,,,,,0,3960,0,9900,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 0059  LL051,Parks,13121007001,3,410,Z04,Swallow Circle/Baywood,Z,1, , ,0, , ,Residential,R-4, , ,3.29181874,X,99.9999962578,172212.8638, , ,2970.62324554,1.72497168262,460,211.141270416,Swann Preserve - Park,SWAN,4214.68344925,Lakewood-Ft. McPherson,145.136589689,SWALLOW CIR SE @ HARPER RD SE,1, , ,Low Growth Res 1,"Block Group 3, Census Tract 70.01, Fulton County, Georgia-0.5288",At Risk of Gentrification,2.36726, , ,0,0,38261, , , ,19294.2578125,572.576541239,14 0059  LL051, ,SFR,Single-Family Residential,19294.2569,1,High,100,Residential Vacant,E1,,Yes,,,R-4,100,R-4 = 100.0%,Single Family Residential,19294.25390625,572.576343110805
1661,7,1661,14 0002  LL0299,0 HENDON RD SE,ATLANTA BOARD OF EDUCATION,Atlanta Public Schools,626000,,,,,,,,,,,,,,E6,0,,ATLANTA,GA,,,,,,,,,,,,,,,,,,,0,250400,0,626000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 0002  LL029, ,TBD,1,206,Z05,South River Gardens,Z,12,"(no street #) Pine Forrest Dr./Hendon Rd. , Purchased in 1973 for $43,000 for future school site", ,0, , ,Residential,R-4, , ,8.02489366,X,99.9999992735,419646.458477, , ,9590.86273232,2.2854625528,735,1285.95627634,Southside Park, ,8367.84134879,East Point,202.924142536,FORREST PARK RD SE @ EISENHOWER RD SE,1, , ,Low Growth Res 1,"Block Group 1, Census Tract 72, Fulton County, Georgia-0.8017",Ongoing Displacement,0.308388,Census Tract 72, ,0,0,22139, , , ,46995.546875,900.378420274,14 0002  LL029, ,I,Industrial,46995.5416,1,High,600,Vacant Exempt Land,E6,Yes,,,,R-4,100,R-4 = 100.0%,Single Family Residential,46995.54296875,900.378366578027
1662,3,1662,14 011000021491,760 JOSEPH E BOONE BLVD,FULTON COUNTY CITY OF ATLANTA LAND BANK AUTHORITY INC,Invest Atlanta,43200,,,,,,,,,,,,,,E1,0,,ATLANTA,GA,,,,,,,,,,,,,,,,,,,0,17280,0,43200,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 01100002149,LBA,13121002500,1,406,L01,Vine City,L,3,Demolished 2/2017.,No plans,Can be developed, , ,Residential,SPI-11 SA9, ,Vine City,0.08843253,X,100.000023737,4629.99354649, , ,0,0,660,114.378075325,J.F. Kennedy Park, ,862.000766201,Ashby,31.8349541883,JOSEPH E BOONE BLVD @ JAMES P BRAWLEY DR NW,0,Westside, ,Growth Area,"Block Group 1, Census Tract 25, Fulton County, Georgia-0.887",Low-Income/Susceptible to Displacement,0.0039537,Census Tract 25, ,0,0,27625, , , ,519.14453125,99.0481967722,14 01100002149, ,MULD,Mixed-Use Low-Density,519.1448,1,High,300,Vacant Commercial Land,E1,,,,,SPI-19 SA8,100,SPI-19 SA8 = 100.0%,Special Public Interest,519.14453125,99.0479984371689
1663,3,1663,14 014300030568,0 EAST ANTHONY ST NW,CITY OF ATLANTA,Landbank,17900,,,,,,,,,,,,,,E1,0,,ATLANTA,GA,,,,,,,,,,,,,,,,,,,0,7160,0,17900,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 01430003056, ,TBD,1,105,K02,Bankhead,K,9, , ,More info needed, , ,Residential,R-4A,Beltline,Upper Marietta/Westside Park,0.14027265,X,99.9996131063,7344.71494239, , ,2436.36078366,33.1714896581,505,275.959647027,Maddox Park, ,175.559516439,Bankhead,166.77031736,BANKHEAD STATION,1,Beltline, ,Low Growth Res 1,"Block Group 1, Census Tract 85, Fulton County, Georgia-1",Ongoing Displacement,0.063259,Census Tract 85, ,0,0,23594, , , ,823.61328125,126.310284879,14 01430003056, ,OS,Open Space,823.6098,1,High,600,Vacant Exempt Land,E1,,,,,R-4A,93,"I-1-C = 7.0%,R-4A = 93.0%",Single Family Residential,823.61328125,126.310082667189
1664,2,1664,14 0085  LL0133,568 HUMPHRIES ST SW,HOUSING AUTH CITY OF ATLANTA,Atlanta Housing Authority,155000,,,,,,,,,,,,,,E0,0,,ATLANTA,GA,,,,,,,,,,,,,,,,,,,86400,27440,34560,68600,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 0085  LL013,HOUSING AUTH CITY OF ATLANTA,13121004400,1,201,V04,Mechanicsville,V,4,McDaniel Glenn,Stage 5: Completion / unit availability,0, ,Land Developed: GL to Columbia / SUMMECH,Residential,SPI-18 SA10, , ,0.28683869,X,99.999851161,15013.8045876, , ,0,0,380,451.855769808,Rosa L. Burney Park, ,914.0477982,West End,187.041498791,MCDANIEL ST SW @ 565,0,Beltline, ,Growth Area,"Block Group 1, Census Tract 44, Fulton County, Georgia-0.9384",Early/Ongoing Gentrification,0.304433, , ,0,0,23587, , , ,1682.984375,169.429041059,14 0085  LL013, ,MU,Mixed-Use,1682.9821,1,Low,699,Improved Government Owned Exempt NEC (Nowhere else coded),E0,,,,,SPI-18 SA10,100,SPI-18 SA10 = 100.0%,Special Public Interest,1682.984375,169.428977336346
1665,24,1665,17 0247  LL1105,0 GUN CLUB RD NW,CITY OF ATLANTA,City of Atlanta,241200,,,,,,,,,,,,,,E1,0,,ATLANTA,GA,,,,,,,,,,,,,,,,,,,0,96480,0,241200,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17 0247  LL110,Public Works,TBD,2,103,G03,West Highlands,G,9, , ,0, , ,Residential,RG-3, , ,122.6677974,X,92.453268048,5960212.60539, , ,1587154.67236,24.6195305558,103,16.416963966,Saporta, ,3302.09222551,Bankhead,62.3400412196,AJAX DR NW @ ADDISON PL,1,Perry/Bolton, ,Low Growth Res 2,"Block Group 2, Census Tract 87, Fulton County, Georgia-0.7467",At Risk of Gentrification,0.16309, , ,0,0,25504, , , ,723115.1875,4303.80256706,17 0247  LL110, ,MDR,Medium-Density Residential,558881.2197,0.7729,High,600,Vacant Exempt Land,E1,,,,,RG-3,100,"PD-MU = 0.0%,RG-3 = 100.0%",Single Family Residential,723115.19921875,4303.80268163771
1666,3,1666,14 017700170678,0 COMMODORE DR NW,FULTON COUNTY,Landbank,7200,,,,,,,,,,,,,,E1,0,,ATLANTA,GA,,,,,,,,,,,,,,,,,,,0,2880,0,7200,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 01770017067, ,TBD,3,502,J02,Center Hill,J,9, , ,More info needed, , ,Residential,R-4, , ,0.07540083,"AE,X,AE,X",67.985867351,2684.27116778, , ,341.781485764,8.65646922455,476,317.58841984,Center Hill Park, ,2645.83241425,Hamilton E. Holmes,43.1012620902,DONALD L HOLLOWELL PKY @ COMMODORE DR NW,1,Hollowell / Martin Luther King, ,Low Growth Res 1,"Block Group 3, Census Tract 86.01, Fulton County, Georgia-0.6974",At Risk of Gentrification,0.0593053,Census Tract 86.01, ,0,0,27039, , , ,442.76953125,128.600945736,14 01770017067, ,SFR,Single-Family Residential,442.774,1,High,600,Vacant Exempt Land,E1,,,,,R-4,100,R-4 = 100.0%,Single Family Residential,442.76953125,128.600845242945
