Address,ZoningCode,Latitude,Longitude,MaxSolarPanels,MaxSolarAreaM2,SunshineHoursPerYear,InstallationCost,AnnualEnergyProductionKWh,AnnualSavings,PaybackPeriodYears
575 WEST ANTHONY ST NW,Single Family Residential,32.6858321,-97.33015759999999,31,60.8702,1688.036,9300,3871.28,503.26640000000003,18.479278568964666
531 WEST ANTHONY ST NW,Single Family Residential,32.6858418,-97.3295857,31,60.8702,1688.036,9300,3871.28,503.26640000000003,18.479278568964666
512 WEST ANTHONY ST NW,Single Family Residential,32.6863621,-97.3293642,26,51.052425,1422.0537,7800,3246.88,422.0944,18.479278568964666
543 WEST ANTHONY ST NW,Single Family Residential,32.6858392,-97.3297417,31,60.8702,1688.036,9300,3871.28,503.26640000000003,18.479278568964666
0 ANTHONY ST NW,Single Family Residential,41.8400572,-71.051818,50,98.17774,1513.9237,15000,6244,811.72,18.479278568964666
1269 LOVELESS AVE NW,Multi-Family Residential,34.7402629,-86.6171289,39,76.578636,1395.5126,11700,4870.32,633.1416,18.479278568964666
0 NORTH AVE NW # REAR,Single Family Residential,33.7712965,-84.3874257,5,9.817774,1308.9366,1500,624.4,81.172,18.47927856896467
0 NORTH AVE NW,Single Family Residential,33.7712965,-84.3874257,5,9.817774,1308.9366,1500,624.4,81.172,18.47927856896467
0 NORTH AVE NW,Single Family Residential,33.7712965,-84.3874257,5,9.817774,1308.9366,1500,624.4,81.172,18.47927856896467
0 ANDERSON AVE NW,Single Family Residential,33.7548956,-84.4460163,104,204.2097,1183.4072,31200,12987.52,1688.3776,18.479278568964666
1565 M L KING JR DR SW,Single Family Residential,42.3189667,-87.85098160000001,28,54.979538,1320,8400,3496.64,454.5632,18.479278568964666
485 WEST LAKE AVE NW,Single Family Residential,33.768741,-84.44068999999999,32,62.833755,1360.6017,9600,3996.16,519.5008,18.479278568964666
0 WEST LAKE AVE NW,Single Family Residential,33.7541305,-84.4443435,63,123.70396,1409.6332,18900,7867.44,1022.7672,18.479278568964666
0 MARKONE ST NW,Single Family Residential,33.7698185,-84.4483457,15,29.453323,835.09906,4500,1873.2,243.51600000000002,18.479278568964666
0 TREMONT DR NW,Single Family Residential,33.7626493,-84.4492357,41,80.50575,1234.64,12300,5120.08,665.6104,18.479278568964666
0 MARKTREY PL NW,Single Family Residential,33.7705219,-84.4481362,44,86.396416,1407.2638,13200,5494.72,714.3136000000001,18.479278568964666
0 MARKONE ST NW,Single Family Residential,33.7698185,-84.4483457,15,29.453323,835.09906,4500,1873.2,243.51600000000002,18.479278568964666
0 ARLINGTON CIR NW,Single Family Residential,34.7210536,-86.6295185,44,86.396416,1513.521,13200,5494.72,714.3136000000001,18.479278568964666
0 MARKTREY PL NW,Single Family Residential,33.7705219,-84.4481362,44,86.396416,1407.2638,13200,5494.72,714.3136000000001,18.479278568964666
0 DETROIT AVE NW,Single Family Residential,33.76703,-84.4502324,46,90.323524,1475.4358,13800,5744.48,746.7823999999999,18.47927856896467
0 MARKTWO PL NW,Single Family Residential,33.7698188,-84.4469755,9,17.671993,750.74493,2700,1123.92,146.1096,18.479278568964666
1890 DONALD LEE HOLLOWELL PKWY NW,Single Family Residential,33.7744844,-84.44861929999999,4757,9340.631,1565.7133,1427100,594054.16,77227.0408,18.479278568964666
0 MARKTWO PL NW,Single Family Residential,33.7698188,-84.4469755,9,17.671993,750.74493,2700,1123.92,146.1096,18.479278568964666
0 CHARLOTTE PL NW,Single Family Residential,33.7725365,-84.4507902,20,39.271095,1331.5277,6000,2497.6,324.688,18.47927856896467
0 GRANDVIEW AVE NW,Single Family Residential,33.8087873,-84.4729459,103,202.24615,1666.7538,30900,12862.64,1672.1432,18.479278568964666
2315 DONALD LEE HOLLOWELL PKWY NW,Single Family Residential,33.7772808,-84.4607236,227,445.72696,1667.8428,68100,28347.76,3685.2088,18.47927856896467
0 HYACINTH AVE NW,Single Family Residential,-27.9020381,153.3985803,47,92.28708,1903.827,14100,5869.36,763.0168,18.479278568964666
0 ARLINGTON CIR NW,Single Family Residential,34.7210536,-86.6295185,44,86.396416,1513.521,13200,5494.72,714.3136000000001,18.479278568964666
2345 DONALD LEE HOLLOWELL PKWY NW,Single Family Residential,33.777524,-84.461992,0,0,0,0,0,0,NaN
2327 DONALD LEE HOLLOWELL PKWY NW,Single Family Residential,33.777683,-84.46140299999999,12,23.562658,1093.8167,3600,1498.56,194.8128,18.479278568964666
0 SHIRLEY PL NW,Single Family Residential,33.7551972,-84.4594286,61,119.77685,1533.3342,18300,7617.68,990.2984,18.479278568964666
0 VERBENA ST NW,Single Family Residential,38.9937696,-77.0392475,50,98.17774,1477.2429,15000,6244,811.72,18.479278568964666
0 SEWANEE AVE NW,Single Family Residential,33.7550305,-84.4661728,69,135.48529,1543.478,20700,8616.72,1120.1735999999999,18.47927856896467
0 SEWANEE AVE NW,Single Family Residential,33.7550305,-84.4661728,69,135.48529,1543.478,20700,8616.72,1120.1735999999999,18.47927856896467
0 SEWANEE AVE NW,Single Family Residential,33.7550305,-84.4661728,69,135.48529,1543.478,20700,8616.72,1120.1735999999999,18.47927856896467
3114 COLLIER DR NW,Single Family Residential,33.7660667,-84.4909169,2,3.9271097,1289.4634,600,249.76,32.4688,18.479278568964666
0 PANSY ST NW,Single Family Residential,33.7578916,-84.4595474,25,49.08887,961.42126,7500,3122,405.86,18.479278568964666
0 ELEANOR TER NW,Single Family Residential,33.7772523,-84.4857603,122,239.5537,1543.1587,36600,15235.36,1980.5968,18.479278568964666
0 WATERFORD RD NW,Single Family Residential,33.7690591,-84.484446,47,92.28708,1151.9557,14100,5869.36,763.0168,18.479278568964666
338 COLLIER DR NW,Single Family Residential,33.7644705,-84.47698559999999,91,178.68349,1426.4308,27300,11364.08,1477.3304,18.479278568964666
0 WATERFORD RD NW,Single Family Residential,33.7690591,-84.484446,47,92.28708,1151.9557,14100,5869.36,763.0168,18.479278568964666
0 WATERFORD RD NW,Single Family Residential,33.7690591,-84.484446,47,92.28708,1151.9557,14100,5869.36,763.0168,18.479278568964666
0 HORTENSE WAY NW,Single Family Residential,33.7763447,-84.4397509,41,80.50575,1511.1853,12300,5120.08,665.6104,18.479278568964666
0 WATERFORD RD NW,Single Family Residential,33.7690591,-84.484446,47,92.28708,1151.9557,14100,5869.36,763.0168,18.479278568964666
0 WATERFORD RD NW,Single Family Residential,33.7690591,-84.484446,47,92.28708,1151.9557,14100,5869.36,763.0168,18.479278568964666
902 WOOD ST NW,Single Family Residential,33.7796328,-84.45878189999999,4,7.8542194,1630.1095,1200,499.52,64.9376,18.479278568964666
0 LARKIN ST SW,Single Family Residential,33.7480297,-84.4071493,88,172.79283,1622.3314,26400,10989.44,1428.6272000000001,18.479278568964666
0 ROSE CIR SW,Single Family Residential,33.8058638,-84.5990617,3,5.8906646,1220.8618,900,374.64,48.7032,18.479278568964666
0 GROVE PARK PL NW # REAR,Single Family Residential,33.7767787,-84.43730649999999,39,76.578636,1517.1763,11700,4870.32,633.1416,18.479278568964666
0 GROVE PARK PL NW # REAR,Single Family Residential,33.7767787,-84.43730649999999,39,76.578636,1517.1763,11700,4870.32,633.1416,18.479278568964666
0 PEEPLES ST SW,Single Family Residential,33.7524861,-84.4205539,17,33.380432,1215.1503,5100,2122.96,275.9848,18.479278568964666
0 OAK ST SW,Single Family Residential,33.7407503,-84.4226998,36,70.68797,1425.7173,10800,4495.68,584.4384,18.479278568964666
0 WHITE ST SW,Single Family Residential,35.3982069,-80.5997768,96,188.50127,1669.243,28800,11988.48,1558.5024,18.479278568964666
0 ROSE CIR SW,Multi-Family Residential,33.8058638,-84.5990617,3,5.8906646,1220.8618,900,374.64,48.7032,18.479278568964666
0 RALPH D ABERNATHY BLVD SW,Single Family Residential,33.7373249,-84.3899933,60,117.81329,1551.9735,18000,7492.8,974.0640000000001,18.479278568964666
0 ROSE CIR SW,Single Family Residential,33.8058638,-84.5990617,3,5.8906646,1220.8618,900,374.64,48.7032,18.479278568964666
0 ROSE CIR SW,Single Family Residential,33.8058638,-84.5990617,3,5.8906646,1220.8618,900,374.64,48.7032,18.479278568964666
0 ROSE CIR SW,Single Family Residential,33.8058638,-84.5990617,3,5.8906646,1220.8618,900,374.64,48.7032,18.479278568964666
0 JOSEPH E LOWERY BLVD,Single Family Residential,33.7548792,-84.417735,22,43.198208,1611.264,6600,2747.36,357.15680000000003,18.479278568964666
1305 OAKLAND DR SW,Single Family Residential,33.7184556,-84.4287947,82,161.0115,1113.2461,24600,10240.16,1331.2208,18.479278568964666
0 LEE ST SW,Multi-Family Residential,33.7227913,-84.4225396,94,184.57416,1633.6853,28200,11738.72,1526.0336,18.479278568964666
1447 LEE ST SW,Multi-Family Residential,33.7157084,-84.4262318,457,897.34454,1659.9891,137100,57070.16,7419.120800000001,18.479278568964666
0 LEE ST SW,Multi-Family Residential,33.7227913,-84.4225396,94,184.57416,1633.6853,28200,11738.72,1526.0336,18.479278568964666
0 PRINCESS AVE SW,Single Family Residential,35.4030539,-80.5790854,82,161.0115,1662.3678,24600,10240.16,1331.2208,18.479278568964666
986 GASTON ST SW,Single Family Residential,33.728252,-84.43605590000001,34,66.760864,1027.429,10200,4245.92,551.9696,18.479278568964666
0 BRIDGES AVE SW,Single Family Residential,33.7265087,-84.4305997,43,84.43286,1400.3057,12900,5369.84,698.0792,18.479278568964666
0 GREENWOOD ST SW,Single Family Residential,33.5658979,-81.7360996,48,94.25063,1547.734,14400,5994.24,779.2512,18.479278568964666
1375 BRIDGES AVE SW,Single Family Residential,33.7267889,-84.432801,37,72.65153,1429.6371,11100,4620.56,600.6728,18.479278568964666
1347 GRAYMONT DR SW,Single Family Residential,33.7177858,-84.43678489999999,16,31.416878,1300.1752,4800,1998.08,259.7504,18.479278568964666
0 BRIDGES AVE SW,Single Family Residential,33.7265087,-84.4305997,43,84.43286,1400.3057,12900,5369.84,698.0792,18.479278568964666
0 MONTREAT AVE SW,Single Family Residential,33.7293101,-84.4316589,17,33.380432,1536.8113,5100,2122.96,275.9848,18.479278568964666
1442 RICHLAND RD SW,Single Family Residential,33.7302977,-84.4349424,27,53.01598,1007.1271,8100,3371.76,438.32880000000006,18.479278568964666
0 OAKLAND DR SW,Single Family Residential,33.7236826,-84.4273897,42,82.46931,1586.0332,12600,5244.96,681.8448000000001,18.479278568964666
0 GREENWICH ST SW,Single Family Residential,33.7438944,-84.4297435,11,21.599104,704.8202,3300,1373.68,178.57840000000002,18.479278568964666
0 ROGERS AVE SW,Single Family Residential,33.7373376,-84.4460183,10,19.635548,997.67596,3000,1248.8,162.344,18.47927856896467
0 AVON AVE SW,Single Family Residential,33.7223854,-84.4317729,45,88.35997,1056.9395,13500,5619.6,730.5480000000001,18.479278568964666
0 SOUTH OLYMPIAN WAY,Single Family Residential,38.8319732,-104.8507565,117,229.73592,2005.8495,35100,14610.96,1899.4248,18.479278568964666
0 CASCADE AVE SW,Single Family Residential,33.7301491,-84.4405023,20,39.271095,1051.4519,6000,2497.6,324.688,18.47927856896467
0 WILLOWBROOK DR SW,Single Family Residential,33.9177505,-84.6154337,74,145.30305,1501.0594,22200,9241.12,1201.3456,18.479278568964666
0 WILLOWBROOK DR SW,Single Family Residential,33.9177505,-84.6154337,74,145.30305,1501.0594,22200,9241.12,1201.3456,18.479278568964666
0 VENETIAN DR SW,Single Family Residential,33.7147465,-84.4500353,1693,3324.2983,1538.7163,507900,211421.84,27484.839200000002,18.479278568964666
0 CAMPBELLTON RD SW,Single Family Residential,33.695262,-84.524129,61,119.77685,1367.3949,18300,7617.68,990.2984,18.479278568964666
0 CASCADE RD SW,Single Family Residential,33.7230806,-84.5034739,42,82.46931,1583.311,12600,5244.96,681.8448000000001,18.479278568964666
1053 CASCADE CIR SW,Single Family Residential,33.7298599,-84.4481158,11,21.599104,922.9438,3300,1373.68,178.57840000000002,18.479278568964666
0 BEECHER RD SW,Single Family Residential,33.7302185,-84.4603932,55,107.995514,1243.722,16500,6868.4,892.8919999999999,18.47927856896467
0 RECTOR DR SW,Single Family Residential,33.7322343,-84.4555789,34,66.760864,1085.0881,10200,4245.92,551.9696,18.479278568964666
0 EDGEWATER DR SW,Single Family Residential,33.7315637,-84.4633144,47,92.28708,888.2324,14100,5869.36,763.0168,18.479278568964666
0 FLEETWOOD CIR SW,Single Family Residential,33.7364475,-84.4619991,64,125.66751,1372.0657,19200,7992.32,1039.0016,18.479278568964666
0 FLEETWOOD CIR SW,Single Family Residential,33.7364475,-84.4619991,64,125.66751,1372.0657,19200,7992.32,1039.0016,18.479278568964666
0 BEECHER CIR SW,Single Family Residential,33.7305355,-84.4610342,49,96.21419,1098.2673,14700,6119.12,795.4856,18.47927856896467
0 FLEETWOOD CIR SW,Single Family Residential,33.7364475,-84.4619991,64,125.66751,1372.0657,19200,7992.32,1039.0016,18.479278568964666
0 BEECHER RD SW,Single Family Residential,33.7302185,-84.4603932,55,107.995514,1243.722,16500,6868.4,892.8919999999999,18.47927856896467
0 VENETIAN DR SW,Single Family Residential,33.7147465,-84.4500353,1693,3324.2983,1538.7163,507900,211421.84,27484.839200000002,18.479278568964666
0 DELOWE DR SW,Single Family Residential,33.7157677,-84.4629144,29,56.943092,1190.7169,8700,3621.52,470.7976,18.479278568964666
0 VENETIAN DR SW,Single Family Residential,33.7147465,-84.4500353,1693,3324.2983,1538.7163,507900,211421.84,27484.839200000002,18.479278568964666
2265 CAMPBELLTON RD SW,Single Family Residential,33.7053579,-84.464094,68,133.52173,1611.4689,20400,8491.84,1103.9392,18.479278568964666
0 BENT CREEK WAY SW,Multi-Family Residential,33.7008901,-84.4660753,391,767.74994,1681.4337,117300,48828.08,6347.6504,18.479278568964666
0 CAMPBELLTON RD SW,Single Family Residential,33.695262,-84.524129,61,119.77685,1367.3949,18300,7617.68,990.2984,18.479278568964666
1841 WELLS DR SW,Single Family Residential,33.7046999,-84.4692426,49,96.21419,1188.959,14700,6119.12,795.4856,18.47927856896467
2443 IVYDALE DR SW,Single Family Residential,33.6987345,-84.4686364,31,60.8702,1181.7477,9300,3871.28,503.26640000000003,18.479278568964666
1979 WELLS DR SW,Single Family Residential,33.7012495,-84.46880279999999,26,51.052425,1238.8546,7800,3246.88,422.0944,18.479278568964666
0 RENA CIR SW,Single Family Residential,33.7011901,-84.4716949,39,76.578636,1135.3512,11700,4870.32,633.1416,18.479278568964666
1886 SANDRINGHAM DR SW,Single Family Residential,33.7047664,-84.4726281,64,125.66751,1460.4222,19200,7992.32,1039.0016,18.479278568964666
0 WELLS DR SW,Single Family Residential,33.7032381,-84.4688182,222,435.90918,1232.9929,66600,27723.36,3604.0368000000003,18.479278568964666
0 WELLS DR SW,Single Family Residential,33.7032381,-84.4688182,222,435.90918,1232.9929,66600,27723.36,3604.0368000000003,18.479278568964666
0 LANDRUM DR SW,Single Family Residential,33.7062926,-84.481724,30,58.906647,1494.0587,9000,3746.4,487.03200000000004,18.479278568964666
0 ARTHUR LANGFORD PKWY,Single Family Residential,33.6980841,-84.4488175,124,243.4808,1547.8837,37200,15485.12,2013.0656000000001,18.479278568964666
1963 WELLS DR SW,Single Family Residential,33.7016822,-84.4691612,15,29.453323,1052.9467,4500,1873.2,243.51600000000002,18.479278568964666
2023 WELLS DR SW,Single Family Residential,33.7004411,-84.4678301,35,68.72442,910.98596,10500,4370.8,568.2040000000001,18.479278568964666
0 LANDRUM DR SW,Single Family Residential,33.7062926,-84.481724,30,58.906647,1494.0587,9000,3746.4,487.03200000000004,18.479278568964666
0 CASCADE RD SW,Single Family Residential,33.7230806,-84.5034739,42,82.46931,1583.311,12600,5244.96,681.8448000000001,18.479278568964666
0 CASCADE RD SW,Single Family Residential,33.7230806,-84.5034739,42,82.46931,1583.311,12600,5244.96,681.8448000000001,18.479278568964666
0 SANDTOWN RD SW,Single Family Residential,33.9506974,-84.6411038,71,139.4124,1604.952,21300,8866.48,1152.6424,18.47927856896467
0 CASCADE RD SW,Single Family Residential,33.7230806,-84.5034739,42,82.46931,1583.311,12600,5244.96,681.8448000000001,18.479278568964666
0 WILLIS MILL RD SW,Single Family Residential,33.7517781,-84.466658,97,190.46483,1647.9943,29100,12113.36,1574.7368000000001,18.479278568964666
0 FALCON DR SW # REAR,Single Family Residential,33.7320103,-84.4754014,55,107.995514,978.323,16500,6868.4,892.8919999999999,18.47927856896467
0 ORIOLE DR SW,Single Family Residential,33.727025,-84.4735062,50,98.17774,1437.7306,15000,6244,811.72,18.479278568964666
0 WILLIS MILL RD SW,Single Family Residential,33.7517781,-84.466658,97,190.46483,1647.9943,29100,12113.36,1574.7368000000001,18.479278568964666
0 WILLIS MILL RD SW,Single Family Residential,33.7517781,-84.466658,97,190.46483,1647.9943,29100,12113.36,1574.7368000000001,18.479278568964666
0 FLAMINGO DR SW # REAR,Single Family Residential,33.7786376,-84.5818855,31,60.8702,1173.1006,9300,3871.28,503.26640000000003,18.479278568964666
0 FLAMINGO DR SW,Single Family Residential,33.9528805,-78.3401687,48,94.25063,1510.0752,14400,5994.24,779.2512,18.479278568964666
0 CATIVO DR SW,Single Family Residential,33.7425194,-84.4715721,16,31.416878,1024.1805,4800,1998.08,259.7504,18.479278568964666
201 PEYTON RD SW,Single Family Residential,33.7485627,-84.4760385,11,21.599104,993.78503,3300,1373.68,178.57840000000002,18.479278568964666
0 PEYTON RD SW # REAR,Single Family Residential,33.7520602,-84.4681275,91,178.68349,1594.8324,27300,11364.08,1477.3304,18.479278568964666
0 FIELDING LN SW,Single Family Residential,33.7441251,-84.484735,101,198.31905,1401.1165,30300,12612.88,1639.6743999999999,18.47927856896467
0 HARLAN RD SW,Single Family Residential,33.75443560000001,-84.4811582,217,426.0914,1462.6715,65100,27098.96,3522.8648,18.47927856896467
0 PEYTON RD SW # REAR,Single Family Residential,33.7520602,-84.4681275,91,178.68349,1594.8324,27300,11364.08,1477.3304,18.479278568964666
0 HARBIN RD SW,Single Family Residential,33.7100477,-84.482699,38,74.61508,835.03595,11400,4745.44,616.9072,18.479278568964666
615 PEYTON RD SW,Single Family Residential,33.739265,-84.48071499999999,57,111.92263,1062.892,17100,7118.16,925.3608,18.479278568964666
0 CAMPBELLTON RD SW,Multi-Family Residential,33.695262,-84.524129,61,119.77685,1367.3949,18300,7617.68,990.2984,18.479278568964666
0 HARBIN RD SW,Single Family Residential,33.7100477,-84.482699,38,74.61508,835.03595,11400,4745.44,616.9072,18.479278568964666
0 HARBIN RD SW,Single Family Residential,33.7100477,-84.482699,38,74.61508,835.03595,11400,4745.44,616.9072,18.479278568964666
0 LAURENS WAY SW,Single Family Residential,33.7104455,-84.4807109,78,153.15727,1295.4492,23400,9740.64,1266.2832,18.479278568964666
2660 LAURENS CIR SW,Single Family Residential,33.7099173,-84.4776577,109,214.02748,1428.1212,32700,13611.92,1769.5496,18.479278568964666
0 ADAMS DR SW,Single Family Residential,33.7139416,-84.4864745,118,231.69948,1420.928,35400,14735.84,1915.6592,18.479278568964666
0 MC MURRAY DR SW,Single Family Residential,33.7040188,-84.4908887,34,66.760864,900.8496,10200,4245.92,551.9696,18.479278568964666
3181 HOGAN RD SW,Single Family Residential,33.6791935,-84.4914337,359,704.9162,1657.1461,107700,44831.92,5828.1496,18.47927856896467
3090 STONE RD SW,Single Family Residential,33.671404,-84.495881,50,98.17774,1465.6978,15000,6244,811.72,18.479278568964666
0 ADAMS DR SW,Single Family Residential,33.7139416,-84.4864745,118,231.69948,1420.928,35400,14735.84,1915.6592,18.479278568964666
0 ADAMS DR SW,Single Family Residential,33.7139416,-84.4864745,118,231.69948,1420.928,35400,14735.84,1915.6592,18.479278568964666
0 ADAMS DR SW,Single Family Residential,33.7139416,-84.4864745,118,231.69948,1420.928,35400,14735.84,1915.6592,18.479278568964666
0 LYNN CIR SW,Single Family Residential,33.7351827,-84.486442,45,88.35997,1217.9591,13500,5619.6,730.5480000000001,18.479278568964666
0 BENJAMIN E MAYS DR SW,Single Family Residential,33.7322447,-84.4872137,137,269.00702,1641.0692,41100,17108.56,2224.1128000000003,18.479278568964666
0 REBECCA DR SW,Single Family Residential,33.9182224,-84.55279809999999,68,133.52173,1411.9086,20400,8491.84,1103.9392,18.479278568964666
0 LYNHURST CIR SW,Single Family Residential,33.7468879,-84.4879713,75,147.26662,1236.8262,22500,9366,1217.5800000000002,18.479278568964666
0 LYNHURST DR SW REAR,Single Family Residential,33.7515172,-84.4880153,12,23.562658,1562.8851,3600,1498.56,194.8128,18.479278568964666
0 LYNHURST DR SW REAR,Single Family Residential,33.7515172,-84.4880153,12,23.562658,1562.8851,3600,1498.56,194.8128,18.479278568964666
0 WESTPORT WAY SW,Single Family Residential,33.7441496,-84.4915026,48,94.25063,979.77203,14400,5994.24,779.2512,18.479278568964666
3201 M L KING JR DR NW,Single Family Residential,42.3195028,-87.87661709999999,53,104.068405,1534,15900,6618.64,860.4232000000001,18.479278568964666
0 LYNHURST DR SW,Single Family Residential,33.7515172,-84.4880153,12,23.562658,1562.8851,3600,1498.56,194.8128,18.479278568964666
0 WESTPORT WAY SW,Single Family Residential,33.7441496,-84.4915026,48,94.25063,979.77203,14400,5994.24,779.2512,18.479278568964666
0 LYNHURST DR SW,Single Family Residential,33.7515172,-84.4880153,12,23.562658,1562.8851,3600,1498.56,194.8128,18.479278568964666
0 CASCADE RD SW # REAR,Single Family Residential,33.7230806,-84.5034739,42,82.46931,1583.311,12600,5244.96,681.8448000000001,18.479278568964666
0 PERIMETER HWY SW,Single Family Residential,49.8804005,-97.3255332,37,72.65153,1566.4457,11100,4620.56,600.6728,18.479278568964666
0 CASCADE FALLS DR SW,Single Family Residential,33.7186349,-84.4952328,50,98.17774,1564.1957,15000,6244,811.72,18.479278568964666
0 WELLS DR SW,Single Family Residential,33.7032381,-84.4688182,222,435.90918,1232.9929,66600,27723.36,3604.0368000000003,18.479278568964666
2029 WELLS DR SW,Single Family Residential,33.7003515,-84.4676539,6,11.781329,869.35785,1800,749.28,97.4064,18.479278568964666
1690 DELOWE DR SW,Single Family Residential,33.7093379,-84.45889849999999,19,37.30754,1044.9106,5700,2372.72,308.4536,18.479278568964666
0 HARWELL RD NW,Single Family Residential,33.753201,-84.49287609999999,86,168.86572,1520.7476,25800,10739.68,1396.1584,18.479278568964666
0 FAIRBURN RD NW,Single Family Residential,33.7595758,-84.5054191,88,172.79283,1625.1703,26400,10989.44,1428.6272000000001,18.479278568964666
760 BOLTON RD NW,Single Family Residential,33.77649299999999,-84.504002,2244,4406.2173,1611.212,673200,280230.72,36429.993599999994,18.47927856896467
0 NORTH CAMP CREEK PKWY # SW,Single Family Residential,33.6703608,-84.5060471,74,145.30305,1491.0337,22200,9241.12,1201.3456,18.479278568964666
0 FAIRBURN RD NW,Single Family Residential,33.7595758,-84.5054191,88,172.79283,1625.1703,26400,10989.44,1428.6272000000001,18.479278568964666
31 BROWNLEE RD SW,Single Family Residential,33.7564137,-84.49936389999999,388,761.8593,1539.618,116400,48453.44,6298.9472000000005,18.479278568964666
3450 BENJAMIN E MAYS DR SW,Single Family Residential,33.733733,-84.50393849999999,6771,13295.2295,1584.6378,2031300,845562.48,109923.12240000001,18.479278568964666
2760 ALEXANDRIA DR SW,Single Family Residential,33.679168,-84.512,62,121.7404,1381.6465,18600,7742.56,1006.5328000000001,18.479278568964666
0 FAIRBURN RD SW,Multi-Family Residential,33.7587783,-84.505142,87,170.82927,1542.5106,26100,10864.56,1412.3928,18.479278568964666
0 STONE RD # SW,Single Family Residential,33.6769088,-84.5047699,59,115.84974,1331.684,17700,7367.92,957.8296,18.479278568964666
0 FAIRBURN RD SW,Multi-Family Residential,33.7587783,-84.505142,87,170.82927,1542.5106,26100,10864.56,1412.3928,18.479278568964666
0 CAMPBELLTON RD SW,Single Family Residential,33.695262,-84.524129,61,119.77685,1367.3949,18300,7617.68,990.2984,18.479278568964666
3881 MELVIN DR SW,Single Family Residential,33.70853450000001,-84.51427860000001,352,691.1713,1592.9933,105600,43957.76,5714.5088000000005,18.479278568964666
0 FAIRBURN RD SW REAR,Single Family Residential,33.7587783,-84.505142,87,170.82927,1542.5106,26100,10864.56,1412.3928,18.479278568964666
0 FAIRBURN RD SW,Single Family Residential,33.7587783,-84.505142,87,170.82927,1542.5106,26100,10864.56,1412.3928,18.479278568964666
0 CELESTE LN,Single Family Residential,28.262943,-82.7056089,30,58.906647,1647.4642,9000,3746.4,487.03200000000004,18.479278568964666
0 CASCADE RD SW,Single Family Residential,33.7230806,-84.5034739,42,82.46931,1583.311,12600,5244.96,681.8448000000001,18.479278568964666
0 GINNIS RD,Single Family Residential,33.731635,-84.5114623,16,31.416878,1675.8789,4800,1998.08,259.7504,18.479278568964666
300 WILSON MILL RD SW,Single Family Residential,33.7532382,-84.5125557,45,88.35997,1282.1553,13500,5619.6,730.5480000000001,18.479278568964666
3691 COLLIER DR NW,Single Family Residential,33.7697432,-84.50654569999999,207,406.45584,1410.3977,62100,25850.16,3360.5208000000002,18.479278568964666
0 BOLTON RD REAR,Single Family Residential,53.7336231,-2.4903893,382,750.07794,874.6751,114600,47704.16,6201.540800000001,18.479278568964666
3711 M L KING JR DR NW,Single Family Residential,42.3195019,-87.8801247,18,35.343987,1426,5400,2247.84,292.2192,18.479278568964666
280 WILSON MILL RD SW,Single Family Residential,33.7553006,-84.5137895,2358,4630.0625,1598.6968,707400,294467.04,38280.7152,18.47927856896467
0 CAMPBELLTON RD SW,Multi-Family Residential,33.695262,-84.524129,61,119.77685,1367.3949,18300,7617.68,990.2984,18.479278568964666
0 WILSON MILL RD SW # R,Single Family Residential,33.7382016,-84.5343006,14,27.489769,1194.7019,4200,1748.32,227.2816,18.479278568964666
0 WILSON MILL RD SW,Single Family Residential,33.7382016,-84.5343006,14,27.489769,1194.7019,4200,1748.32,227.2816,18.479278568964666
0 CAMPBELLTON RD SW,Multi-Family Residential,33.695262,-84.524129,61,119.77685,1367.3949,18300,7617.68,990.2984,18.479278568964666
0 WILSON MILL RD SW,Single Family Residential,33.7382016,-84.5343006,14,27.489769,1194.7019,4200,1748.32,227.2816,18.479278568964666
0 BOULDER PARK DR SW,Single Family Residential,33.7467023,-84.5159117,53,104.068405,1038.8871,15900,6618.64,860.4232000000001,18.479278568964666
0 BOULDER PARK RD SW,Single Family Residential,36.0972457,-80.2019512,654,1284.1649,1562.711,196200,81671.52,10617.297600000002,18.479278568964666
4610 TUCSON TRL SW,Single Family Residential,33.6896678,-84.5389282,51,100.1413,1094.3433,15300,6368.88,827.9544000000001,18.479278568964666
4531 CAMPBELLTON RD SW,Multi-Family Residential,33.6960895,-84.5364027,30,58.906647,1435.0778,9000,3746.4,487.03200000000004,18.479278568964666
0 WILSON JAMES RD SW,Multi-Family Residential,33.6973942,-84.5372145,32,62.833755,823.7567,9600,3996.16,519.5008,18.479278568964666
0 BAKERS FERRY RD SW # REAR,Single Family Residential,33.7472068,-84.5411996,307,602.81134,1562.8325,92100,38338.16,4983.960800000001,18.479278568964666
0 BAKERS FERRY RD SW # REAR,Single Family Residential,33.7472068,-84.5411996,307,602.81134,1562.8325,92100,38338.16,4983.960800000001,18.479278568964666
1835 HENRY THOMAS DR SE,Single Family Residential,33.704495,-84.35667749999999,467,916.9801,1596.0238,140100,58318.96,7581.4648,18.47927856896467
0 STONEWALL DR SE,Single Family Residential,33.6909851,-84.3585139,33,64.79731,957.63763,9900,4121.04,535.7352,18.47927856896467
0 SANTA FE TRL SW,Single Family Residential,33.8748975,-84.580964,57,111.92263,1381.371,17100,7118.16,925.3608,18.479278568964666
0 NATHAM DR SE,Single Family Residential,33.6893545,-84.3579239,34,66.760864,1626.9901,10200,4245.92,551.9696,18.479278568964666
0 STONEWALL DR SE,Single Family Residential,33.6909851,-84.3585139,33,64.79731,957.63763,9900,4121.04,535.7352,18.47927856896467
